name, numInstances,numFeatures, numNumeric, numNominal, numClasses,accuracy_weka,time_weka,accuracy_FRF,time_FRF,accuracy_FRF - accuracy_weka,SpeedUp
dtSet1_100_100.arff,100,100,100,0,2,85.00,550.20,85.00,131.20,0.00,4.19
dtSet1_200_100.arff,200,100,99,1,2,66.40,656.20,68.20,356.20,1.80,1.84
dtSet1_400_100.arff,400,100,100,0,2,79.05,1194.20,79.35,700.20,0.30,1.71
dtSet1_800_100.arff,800,100,100,0,2,80.90,3278.00,82.50,1978.00,1.60,1.66
dtSet1_1600_100.arff,1600,100,99,1,2,95.50,6984.40,95.51,3784.40,0.01,1.85
dtSet1_3200_100.arff,3200,100,100,0,2,89.33,14350.00,89.39,8331.40,0.06,1.72
dtSet1_6400_100.arff,6400,100,100,0,2,89.68,38913.60,91.40,22019.20,1.72,1.77
dtSet1_12800_100.arff,12800,100,100,0,2,78.60,99177.00,80.12,57702.20,1.51,1.72
dtSet1_25600_100.arff,25600,100,98,2,2,77.82,251485.00,79.20,141681.00,1.38,1.78
dtSet1_100_200.arff,100,200,198,2,2,90.00,337.20,90.00,131.00,0.00,2.57
dtSet1_200_200.arff,200,200,199,1,2,68.50,800.20,68.50,393.80,0.00,2.03
dtSet1_400_200.arff,400,200,199,1,2,96.55,1666.00,96.85,859.60,0.30,1.94
dtSet1_800_200.arff,800,200,199,1,2,83.00,3309.40,83.00,1972.00,0.00,1.68
dtSet1_1600_200.arff,1600,200,199,1,2,93.81,6150.00,93.81,3809.20,0.00,1.61
dtSet1_3200_200.arff,3200,200,200,0,2,75.11,22891.00,74.38,12003.20,-0.74,1.91
dtSet1_6400_200.arff,6400,200,199,1,2,96.73,54732.20,96.73,26494.00,-0.01,2.07
dtSet1_12800_200.arff,12800,200,199,1,2,99.96,25351.40,99.96,11172.20,0.00,2.27
dtSet1_100_400.arff,100,400,398,2,2,63.00,659.40,63.20,212.60,0.20,3.10
dtSet1_200_400.arff,200,400,399,1,2,57.60,1115.40,57.50,468.80,-0.10,2.38
dtSet1_400_400.arff,400,400,397,3,2,80.50,1922.00,80.50,993.80,0.00,1.93
dtSet1_800_400.arff,800,400,398,2,2,63.95,5075.00,64.25,2531.20,0.30,2.00
dtSet1_1600_400.arff,1600,400,398,2,2,64.36,12206.60,63.70,5937.40,-0.66,2.06
dtSet1_3200_400.arff,3200,400,394,6,2,77.78,30891.00,75.16,14237.40,-2.61,2.17
dtSet1_6400_400.arff,6400,400,397,3,2,73.05,76244.40,69.32,35759.80,-3.72,2.13
dtSet1_100_800.arff,100,800,793,7,2,97.00,578.80,97.00,137.80,0.00,4.20
dtSet1_200_800.arff,200,800,791,9,2,63.00,1546.80,63.00,565.40,0.00,2.74
dtSet1_400_800.arff,400,800,796,4,2,75.75,2797.00,75.75,1259.20,0.00,2.22
dtSet1_800_800.arff,800,800,796,4,2,77.25,6137.60,77.25,2953.20,0.00,2.08
dtSet1_1600_800.arff,1600,800,796,4,2,78.38,14859.40,78.38,7056.60,0.00,2.11
dtSet1_3200_800.arff,3200,800,791,9,2,62.81,40160.20,62.68,17438.00,-0.13,2.30
dtSet1_100_1600.arff,100,1600,1592,8,2,71.00,1449.80,71.00,321.80,0.00,4.51
dtSet1_200_1600.arff,200,1600,1587,13,2,85.00,1928.40,85.00,640.60,0.00,3.01
dtSet1_400_1600.arff,400,1600,1592,8,2,69.50,4459.60,69.50,1665.60,0.00,2.68
dtSet1_800_1600.arff,800,1600,1585,15,2,57.65,10068.40,57.83,3956.40,0.18,2.54
dtSet1_1600_1600.arff,1600,1600,1584,16,2,57.01,23272.20,57.00,9028.60,-0.01,2.58
dtSet1_100_3200.arff,100,3200,3177,23,2,52.80,2815.60,53.00,484.60,0.20,5.81
dtSet1_200_3200.arff,200,3200,3182,18,2,61.00,4137.60,61.00,1040.80,0.00,3.98
dtSet1_400_3200.arff,400,3200,3181,19,2,62.50,7359.60,62.50,2347.00,0.00,3.14
dtSet1_800_3200.arff,800,3200,3173,27,2,59.28,15087.60,59.30,5437.40,0.02,2.77
dtSet1_100_6400.arff,100,6400,6349,51,2,81.00,4726.80,81.00,703.40,0.00,6.72
dtSet1_200_6400.arff,200,6400,6361,39,2,62.50,7368.60,62.50,1590.60,0.00,4.63
dtSet1_400_6400.arff,400,6400,6357,43,2,99.00,3831.80,99.00,2387.20,0.00,1.61
dtSet1_100_12800.arff,100,12800,12719,81,2,96.00,6559.60,96.00,1059.60,0.00,6.19
dtSet1_200_12800.arff,200,12800,12713,87,2,70.00,13200.20,70.00,2568.80,0.00,5.14
dtSet1_100_25600.arff,100,25600,25423,177,2,49.00,18909.40,49.40,2206.20,0.40,8.57
